"country","institute","meas.tech2","err1.mean","err2.mean","err1.sd","err2.sd","err1.n","err2.n"
"UK","ADAS-RR","micro met",-0.012755778521632,0.00913453401905997,0.13256525073123,0.108888394823182,109,109
"CA","ARDC","micro met",-0.20563170943033,-0.139838062660179,0.166543091393143,0.163959187085598,7,7
"DK","AT","micro met",-0.0252927339770235,-0.026196965599668,0.115759084592498,0.0777557885518196,17,17
"DK","AU","micro met",-0.0223871193586931,-0.0640179471051945,0.19042421891146,0.206425528411306,33,33
"NL","AU","micro met",0.0528665054307796,0.0450992601522276,NA,NA,1,1
"DE","CAU-LU","micro met",-0.054167566451122,-0.00199834023132256,NA,NA,1,1
"DK","DIAS","micro met",0.0437591865512399,0.0616149796352023,0.122193881007554,0.131252270464244,28,28
"NL","IMAG","micro met",-0.116011206266958,-0.0476179562978314,0.22311496775665,0.194329671118976,82,82
"CH","INH-HAFL","micro met",-0.0173665014803162,0.00489735941583143,0.0542485257450498,0.0529323483999705,45,45
"FR","INRA","micro met",0.00948728094442127,0.0732160892732017,0.160191330256139,0.137220781277109,7,7
"IT","MU","micro met",-0.273125448547039,-0.170064064256018,NA,NA,1,1
"NL","NMI-WUR","micro met",-0.0851957164108382,0.0354394806323059,0.216252953498157,0.244915675426158,3,3
"IE","TEAGASC","micro met",0.0119960940579203,-0.0186384499042748,0.159397672359135,0.152140309094913,49,49
"IT","UNIMI","micro met",-0.131614471408794,-0.147557541724011,NA,NA,1,1
"IT","UNINA","micro met",-0.301678006087427,-0.288439957954907,0.107309267711872,0.145611336226304,2,2
"NL","WUR","micro met",-0.154178485070919,-0.0992460186969299,0.24910584921908,0.211657861166039,79,79
"UK","ADAS","wt",-0.0562592465999987,-0.111246453768925,0.225019933999101,0.226538155610276,10,10
"CA","ARDC","wt",-0.068100123713285,0.0319105737181301,0.109500009798887,0.129697099658312,48,48
"DK","AU","wt",-0.115465133884657,-0.20408018691335,0.248944662411519,0.250194748734513,39,39
"IT","CRPA","wt",0.0858227774374629,0.0567993988544387,0.17580253678777,0.179471535636,20,20
"DK","DIAS","wt",0.070052145302899,0.153278239848307,0.112313515571842,0.107741147224608,14,14
"UK","IGER","wt",-0.236437087873903,-0.150862905008191,0.208686407035904,0.208303044305003,159,159
"IT","UNINA","wt",-0.0056908615812421,0.00633295240669482,0.0706090808000643,0.0677617705324974,5,5
